weight;word
3;खरानी
1;काचिन
7;कर्म
2;हलो
6;त्रास
4;जङ्गलमा
6;तन
5;लुटिएको
3;हिलो
4;हाल
3;बाला
4;बाले
14;फूल
5;अन्त्य
3;कर्कश
2;कलमको
2;घिउ
5;कान
5;स्वर
6;आमाले
5;हिँडेको
10;कथा
2;गीतहरू
3;पारिजातको
9;फरक
2;बैँस
4;हावाको
4;वेग
3;नजरमा
3;भित्तामा
5;आँखामा
4;खोला
2;आतुर
3;बगैँचामा
2;दिलको
3;स्पर्श
4;सन्तान
6;अचम्म
2;सम्मान
4;सलाम
2;बच्चा
1;नेता
4;झन्डा
2;नारा
1;ललिपप्
1;मौका
4;नौलो
2;मुखमा
4;मान्छेले
3;जाँचमा
2;ओठमा
4;ढुङ्गा
4;संस्कार
4;कृत्रिम
4;रहर
3;साथीहरू
4;बाध्यता
2;बानी
4;बस्तीमा
3;फुर्सद
3;बस्ती
5;पाइला
3;हजुर
6;मानिस
6;मानव
3;मानिसहरू
6;शून्य
3;सभ्य
2;प्रिया
2;धुजा
3;ढिला
2;बात
3;दिलमा
2;राग
2;अत्तर
3;खिल
4;सागर
3;राज
2;खुला
3;ख्याल
10;प्रेम
5;दिशा
4;थकित
3;गाँस
4;शरणार्थी
14;आकाश
3;आँसुले
3;मनहरू
12;भाषा
2;आमाहरू
1;व्यवस्थाले
4;मानसम्मान
3;छुरा
4;सुगन्ध
3;जालो
3;चस्मा
7;ज्ञान
3;मर्यादा
5;अर्थ
7;खुट्टा
3;शिखर
3;विज्ञानको
3;प्रकृति
5;बल
4;समृद्धि
5;भिन्न
3;दैव
2;बास्ना
4;असल
3;सम्पत्ति
3;मान्छेहरू
3;तत्पर
8;इतिहास
5;ठुला
7;रूप
5;कोमल
3;हृदय
3;निश्चित
3;प्रेमिल
1;युद्धले
3;हातहरू
2;सिमानाहरू
2;गुगल
2;भय
5;पृथ्वी
4;निर्धक्क
4;आवाजले
5;औँला
5;गङ्गा
3;हाहाकार
7;रगतले
1;गोला
1;फाइलहरू
3;आगोले
4;अचानक
5;मुटु
4;शीतल
3;सम्झना
3;पवन
3;औषधि
2;तनमन
5;धनी
2;श्वास
3;डाक्टर
4;त्रसित
3;जन
3;खुसीले
4;अविरल
4;दिव्य
3;आत्माले
3;निर्दयी
3;कला
3;जगत
3;बिन्ती
2;शान्तिको
3;बन्दुक
4;हत्या
2;विषालु
6;टाउकोमा
3;बुट
4;दर्शन
4;शोभा
3;पाप
2;झर्ना
3;तेज
3;गौरव
5;पहाडको
2;उल्टो
2;मुक्ति
3;अपरिचित
2;गौरवशाली
8;नेपाली
2;टोपी
4;भेष
3;महत्त्व
9;छातीमा
4;नाता
5;जीवनका
3;निर्मल
4;ममता
7;पटक
1;काँडाघारी
3;सूर्य
1;कुचो
1;काँडा
2;पैतालाले
1;कटुसका
5;सङ्घर्ष
2;गुलाब
11;जीवनको
3;शिक्षा
4;स्कुल
3;हातले
5;सम्बन्ध
3;उत्तिकै
7;बोली
3;कलम
3;गरिबी
2;कलमले
4;अक्षर
2;मरुभूमिको
4;भिडमा
3;एक्लो
3;यात्राको
4;नेपाल
4;भूटान
3;अथाह
3;क्रम
4;यादहरू
5;खोलाको
5;मान्छेको
2;धमिलो
1;सेरोफेरो
4;झरी
1;बुलन्द
1;आपत्ति
9;शरीर
3;पीडाको
1;अपराधी
4;फूलहरू
6;अनुहार
2;सहानुभूति
4;दुनियाँको
4;रातभर
3;आँधी
7;वर्तमान
5;अनुहारमा
3;उज्यालो
7;हराएको
1;प्रहरी
3;पन्नामा
2;आँगन
1;दृश्य
2;ढोका
3;विपरीत
3;बलेँसीमा
2;गहिराइमा
5;परिवेश
3;हार
3;नाति
3;सन्ततिलाई
3;शब्दहरू
2;गुनासो
1;अभागी
3;क्षण
3;बिपना
3;बहाना
2;गफ
5;नाना
3;नाटक
6;भविष्य
3;मनलाई
3;भौतिक
4;रङ्गिन
10;पहाड
3;लासको
1;फुकोसीमा
2;वायुमण्डलमा
4;दुनियाँमा
6;नाममा
4;सुख
2;समाधान
3;साहस
3;दुखेको
3;गोली
1;टन
2;थर
1;बर
3;कसुर
3;कमल
1;शैय्यामा
3;रिस
2;सभ्यताको
5;प्रिय
2;परिचय
4;क्षितिजमा
3;लक्ष्य
5;भोकै
2;लम्पसार
3;गोडमेल
3;क्रोध
1;बेलडाँगी
1;छटपटाइरहेछ
4;परिवर्तन
3;साहित्य
7;धर्ती
3;चट्याङ
3;नाङ्गा
1;नेसनल
1;ह्यापिनेस
3;सिँगान
1;ग्रस
5;स्वच्छ
11;माटो
2;झ्यालबाट
3;सम्पूर्ण
3;सडकमा
7;पाँच
3;पानीको
4;जीवित
2;साधारण
5;घाम
3;रुख
1;खाँचो
2;सय
3;सडक
3;प्रकृतिको
3;मस्तिष्क
2;जीवनी
3;बत्ती
2;आवाजमा
2;पूर्ण
3;कोठामा
4;जीवनमा
3;सुनसान
3;नागरिक
4;बिचरा
5;बादलले
4;निष्कर्ष
3;महिना
1;नातिनीलाई
3;आफ्नोपन
3;निमिट्यान्न
2;अटल
5;आत्मा
5;विगत
3;अस्मिता
4;प्रश्नको
5;आकृति
2;ढोल
4;कैद
3;आनन्दित
6;कानमा
4;हर्ष
4;भूगोल
2;सौभाग्य
3;सन्तानको
3;काँडाहरू
3;समुद्र
1;उत्तरेखोला
1;उत्तरे
2;विद्रोहको
2;देशबाट
5;देशमा
2;जेलमा
5;माटोको
2;भूगोलमा
3;वसन्त
1;बाउ
6;सिङ्गो
4;सुरु
3;गाउँको
2;मान्छेलाई
1;आर्मी
1;कुरूप
3;सम्बन्धमा
3;सपनाको
5;लास
4;गुण
3;सम्बन्धलाई
3;थोक
2;निलो
5;सम्झँदै
3;भूटानी
2;पलहरू
3;किताब
5;चिसो
4;हावा
1;अलगअलग
3;जन्मभूमि
1;सीमाहरू
2;सिमानाले
1;चाबी
3;छाया
2;भूगोलको
4;हिमाल
2;छातीको
2;गुलाफ
2;पूर्व
4;मधुर
3;छोराछोरी
3;सरल
3;ब्रह्माण्ड
3;हृदयको
1;काकाले
2;समुद्रमा
2;बाआमालाई
1;फोन
1;स्मार्टफोन
3;सहज
2;साठी
3;समयलाई
5;अमेरिका
3;डलर
2;मीठा
3;एकान्त
3;आकाशको
1;समस्या
3;आगोमा
1;चिठी
3;खुल्ला
3;चरा
3;व्यक्ति
1;इच्छुक
2;भाइ
1;विपक्षमा
1;विरोधमा
2;अमर
3;कण
3;चोट
3;घाउ
3;मौन
1;भगवान्
2;कामना
3;राम
2;तस्बिरको
1;मान्छेजस्ता
4;सिकार
1;बाआमा
1;आमाबाबुलाई
1;भुक्तानी
2;चिज
1;यार
1;सकभर
2;झुन्डाएर
2;भत्ता
2;अचम्मको
4;टाउको
2;थुँगाहरू
3;वर्षा
2;फाटेको
4;हरियो
2;सयपत्री
2;थोपा
4;पसेको
2;खबर
2;गुगलमा
2;समयले
2;स्मृतिको
4;आँखाहरू
3;बिरानो
4;बुढो
3;सम्झनामा
3;निधार
3;प्रेमको
2;स्कुलको
2;देउरालीमा
2;सहारा
3;धुपी
1;भरिलो
1;मास
2;हुरी
2;हिउँ
3;लाली
2;केस
4;साक्षी
4;रातभरि
1;विज्ञानै
2;जगको
1;वेदमा
1;ज्ञानै
1;स्रोतै
1;सुज्ञान
1;भानु
3;कुर्सी
1;पूर्वीय
1;जयन्ती
2;कविताका
1;स्मृतिमा
1;बुझाई
2;विलीन
2;सृष्टि
3;बबुरो
2;माता
3;ओत
1;पिता
1;रङ्गहरू
3;समुद्रको
3;माटोमा
2;मङ्गल
2;शरीरबाट
2;पृथ्वीको
2;रसायन
1;खण्ड
1;चिताको
1;साब
2;निको
4;छाती
3;शल्यक्रिया
2;उपाय
2;सपनाका
4;मालिक
3;आकाशले
2;जिब्रो
2;नम्बर
2;रातै
2;फेल
2;न्यानोको
2;हिलोमा
2;कार्डबोर्ड
3;फड्के
3;उस्तैउस्तै
3;भ्यागुतो
2;अनुभव
3;ठक्कर
2;जाँच
2;गेटबाट
3;बतासले
2;जोङ्खा
2;छाता
2;कलिलो
2;सास
2;फिट
2;लोपेन
2;झापड
2;मुसो
4;सामर्थ्य
2;ह्वार्र
1;बारुदको
1;स्कूलको
1;शरिर
1;तुर्साको
1;तुर्सा
1;वन्
1;महाकाव्य
1;टेबल
1;परियोडिक
1;झोलामा
1;सिङ्गै
1;महल
1;काइँलो
2;असिना
1;कारणले
1;दमाई
1;मलामी
1;सद्दे
1;बौलाउँछु
1;बौलाहा
1;मुगलान
1;स्वतन्त्रता
1;दिवस
1;शनिवारको
1;प्रश्नहरूको
1;कुलागाङ्ग्री
